表層形, 品詞
、,記号
眉,名詞
も,助詞
平凡,名詞
、,記号
眼,名詞
も,助詞
平凡,名詞
、,記号
鼻,名詞
も,助詞
口,名詞
も,助詞
顎,名詞
も,助詞
、,記号
ああ,感動詞
、,記号
この,連体詞
顔,名詞
に,助詞
は,助詞
表情,名詞
が,助詞
無い,形容詞
ばかり,助詞
か,助詞
、,記号
印象,名詞
さえ,助詞
無い,形容詞
。,記号
特徴,名詞
が,助詞
無い,形容詞
の,名詞
だ,助動詞
。,記号
たとえば,接続詞
、,記号
私,名詞
が,助詞
この,連体詞
写真,名詞
を,助詞
見,動詞
て,助詞
、,記号
眼,名詞
を,助詞
つぶる,動詞
。,記号
既に,副詞
私,名詞
は,助詞
この,連体詞
顔,名詞
を,助詞
忘れ,動詞
て,助詞
いる,動詞
。,記号
部屋,名詞
の,助詞
壁,名詞
や,助詞
、,記号
小さい,形容詞
火鉢,名詞
は,助詞
思い出す,動詞
事,名詞
が,助詞
出来る,動詞
けれども,助詞
、,記号
その,連体詞
部屋,名詞
の,助詞
主人公,名詞
の,助詞
顔,名詞
の,助詞
印象,名詞
は,助詞
、,記号
すっと,副詞
霧,名詞
消し,動詞
て,助詞
、,記号
どうしても,副詞
、,記号
何,名詞
と,助詞
し,動詞
て,助詞
も,助詞
思い出せ,動詞
ない,助動詞
。,記号
画,名詞
に,助詞
なら,動詞
ない,助動詞
顔,名詞
で,助動詞
ある,助動詞
。,記号
漫画,名詞
に,助詞
も,助詞
何,名詞
も,助詞
なら,動詞
ない,助動詞
顔,名詞
で,助動詞
ある,助動詞
。,記号
眼,名詞
を,助詞
ひらく,動詞
。,記号
あ,感動詞
、,記号
こんな,連体詞
顔,名詞
だっ,助動詞
た,助動詞
の,名詞
か,助詞
、,記号
思い出し,動詞
た,助動詞
、,記号
という,助詞
よう,名詞
な,助動詞
よろこび,動詞
さえ,助詞
無い,形容詞
。,記号
極端,名詞
な,助動詞
言い方,名詞
を,助詞
すれ,動詞
ば,助詞
、,記号
眼,名詞
を,助詞
ひらい,動詞
て,助詞
その,連体詞
写真,名詞
を,助詞
再び,副詞
見,動詞
て,助詞
も,助詞
、,記号
思い出せ,動詞
ない,助動詞
。,記号
そうして,接続詞
、,記号
ただ,接続詞
もう,副詞
不愉快,名詞
、,記号
イライラ,副詞
し,動詞
て,助詞
、,記号
つい,副詞
眼,名詞
を,助詞
そむけ,動詞
たく,助動詞
なる,動詞
。,記号
所,名詞
謂,名詞
「,記号
死相,名詞
」,記号
という,助詞
もの,名詞
に,助詞
だって,助詞
、,記号
もっと,副詞
何,名詞
か,助詞
表情,名詞
なり,助詞
印象,名詞
なり,助詞
が,助詞
ある,動詞
もの,名詞
だろ,助動詞
う,助動詞
に,助詞
、,記号
人間,名詞
の,助詞
からだ,名詞
に,助詞
駄馬,名詞
の,助詞
首,名詞
で,助詞
も,助詞
くっつけ,動詞
た,助動詞
なら,助動詞
、,記号
こんな,連体詞
感じ,名詞
の,助詞
もの,名詞
に,助詞
なる,動詞
で,助動詞
あろ,助動詞
う,助動詞
か,助詞
、,記号
とにかく,副詞
、,記号
どこ,名詞
という,助詞
事,名詞
なく,形容詞
、,記号
見る,動詞
者,名詞
を,助詞
し,動詞
て,助詞
、,記号
ぞっと,副詞
さ,動詞
せ,動詞
、,記号
いや,名詞
な,助動詞
気持,名詞
に,助詞
さ,動詞
せる,動詞
の,名詞
だ,助動詞
。,記号
私,名詞
は,助詞
これ,名詞
まで,助詞
、,記号
こんな,連体詞
不思議,名詞
な,助動詞
男,名詞
の,助詞
顔,名詞
を,助詞
見,動詞
た,助動詞
事,名詞
が,助詞
、,記号
やはり,副詞
、,記号
いちど,名詞
も,助詞
無かっ,形容詞
た,助動詞
。,記号
第,接頭詞
一,名詞
の,助詞
手記,名詞
恥,名詞
の,助詞
多い,形容詞
生涯,名詞
を,助詞
送っ,動詞
て,助詞
来,動詞
まし,助動詞
た,助動詞
。,記号
自分,名詞
に,助詞
は,助詞
、,記号
人間,名詞
の,助詞
生活,名詞
という,助詞
もの,名詞
が,助詞
、,記号
見当,名詞
つか,動詞
ない,助動詞
の,名詞
です,助動詞
。,記号
自分,名詞
は,助詞
東北,名詞
の,助詞
田舎,名詞
に,助詞
生れ,動詞
まし,助動詞
た,助動詞
ので,助詞
、,記号
汽車,名詞
を,助詞
はじめて,副詞
見,動詞
た,助動詞
の,名詞
は,助詞
、,記号
よほど,副詞
大きく,形容詞
なっ,動詞
て,助詞
から,助詞
でし,助動詞
た,助動詞
。,記号
自分,名詞
は,助詞
停車場,名詞
の,助詞
ブリッジ,名詞
を,助詞
、,記号
上っ,動詞
て,助詞
、,記号
降り,動詞
て,助詞
、,記号
そう,副詞
し,動詞
て,助詞
それ,名詞
が,助詞
線路,名詞
を,助詞
またぎ,動詞
越える,動詞
ため,名詞
に,助詞
造ら,動詞
れ,動詞
た,助動詞
もの,名詞
だ,助動詞
という,助詞
事,名詞
に,助詞
は,助詞
全然,副詞
気づか,動詞
ず,助動詞
、,記号
ただ,接続詞
それ,名詞
は,助詞
停車場,名詞
の,助詞
構内,名詞
を,助詞
外国,名詞
の,助詞
遊戯,名詞
場,名詞
みたい,名詞
に,助詞
、,記号
複雑,名詞
に,助詞
楽しく,形容詞
、,記号
ハイカラ,名詞
に,助詞
する,動詞
ため,名詞
に,助詞
のみ,助詞
、,記号
設備,名詞
せら,動詞
れ,動詞
て,助詞
ある,動詞
もの,名詞
だ,助動詞
と,助詞
ばかり,助詞
思っ,動詞
て,助詞
い,動詞
まし,助動詞
た,助動詞
。,記号
しかも,接続詞
、,記号
かなり,副詞
永い,形容詞
間,名詞
そう,副詞
思っ,動詞
て,助詞
い,動詞
た,助動詞
の,名詞
です,助動詞
。,記号
ブリッジ,名詞
の,助詞
上っ,動詞
たり,助詞
降り,動詞
たり,助詞
は,助詞
、,記号
自分,名詞
に,助詞
は,助詞
むしろ,副詞
、,記号
ずいぶん,副詞
垢抜け,名詞
の,助詞
し,動詞
た,助動詞
遊戯,名詞
で,助詞
、,記号
それ,名詞
は,助詞
鉄道,名詞
の,助詞
サーヴィス,名詞
の,助詞
中,名詞
でも,助詞
、,記号
最も,副詞
気,名詞
の,助詞
きい,動詞
た,助動詞
サーヴィス,名詞
の,助詞
一つ,名詞
だ,助動詞
と,助詞
思っ,動詞
て,助詞
い,動詞
た,助動詞
の,名詞
です,助動詞
が,助詞
、,記号
のち,名詞
に,助詞
それ,名詞
は,助詞
ただ,接続詞
旅客,名詞
が,助詞
線路,名詞
を,助詞
またぎ,動詞
越える,動詞
ため,名詞
の,助詞
頗る,副詞
実利,名詞
的,名詞
な,助動詞
階段,名詞
に,助詞
過ぎ,動詞
ない,助動詞
の,名詞
を,助詞
発見,名詞
し,動詞
て,助詞
、,記号
にわかに,副詞
興,名詞
が,助詞
覚め,動詞
まし,助動詞
た,助動詞
。,記号
また,接続詞
、,記号
自分,名詞
は,助詞
子供,名詞
の,助詞
頃,名詞
、,記号
絵本,名詞
で,助詞
地下鉄,名詞
道,名詞
という,助詞
もの,名詞
を,助詞
見,動詞
て,助詞
、,記号
これ,名詞
も,助詞
やはり,副詞
、,記号
実利,名詞
的,名詞
な,助動詞
必要,名詞
から,助詞
案出,名詞
せら,動詞
れ,動詞
た,助動詞
もの,名詞
で,助動詞
は,助詞
なく,助動詞
、,記号
地上,名詞
の,助詞
車,名詞
に,助詞
乗る,動詞
より,助詞
は,助詞
、,記号
地下,名詞
の,助詞
車,名詞
に,助詞
乗っ,動詞
た,助動詞
ほう,名詞
が,助詞
風,名詞
がわり,名詞
で,助詞
面白い,形容詞
遊び,名詞
だ,助動詞
から,助詞
、,記号
と,助詞
ばかり,助詞
思っ,動詞
て,助詞
い,動詞
まし,助動詞
た,助動詞
。,記号
自分,名詞
は,助詞
子供,名詞
の,助詞
頃,名詞
から,助詞
病弱,名詞
で,助動詞
、,記号
よく,副詞
寝込み,動詞
まし,助動詞
た,助動詞
が,助詞
、,記号
寝,動詞
ながら,助詞
、,記号
敷布,名詞
、,記号
枕,名詞
の,助詞
カヴァ,名詞
、,記号
掛蒲団,名詞
の,助詞
カヴァ,名詞
を,助詞
、,記号
つくづく,副詞
、,記号
つまらない,形容詞
装飾,名詞
だ,助動詞
と,助詞
思い,動詞
、,記号
それ,名詞
が,助詞
案外,名詞
に,助詞
実,接頭詞
用品,名詞
だっ,助動詞
た,助動詞
事,名詞
を,助詞
、,記号
二,名詞
十,名詞
歳,名詞
ちかく,形容詞
に,助詞
なっ,動詞
て,助詞
わかっ,動詞
て,助詞
、,記号
人間,名詞
の,助詞
つまし,形容詞
さ,名詞
に,助詞
暗然,名詞
と,助詞
し,動詞
、,記号
悲しい,形容詞
思い,名詞
を,助詞
し,動詞
まし,助動詞
た,助動詞
。,記号
また,接続詞
、,記号
自分,名詞
は,助詞
、,記号
空腹,名詞
という,助詞
事,名詞
を,助詞
知り,動詞
ませ,助動詞
ん,助動詞
でし,助動詞
た,助動詞
。,記号
いや,接続詞
、,記号
それ,名詞
は,助詞
、,記号
自分,名詞
が,助詞
衣食住,名詞
に,助詞
困ら,動詞
ない,助動詞
家,名詞
に,助詞
育っ,動詞
た,助動詞
という,助詞
意味,名詞
で,助詞
は,助詞
なく,助動詞
、,記号
そんな,連体詞
馬鹿,名詞
な,助動詞
意味,名詞
で,助詞
は,助詞
なく,助動詞
、,記号
自分,名詞
に,助詞
は,助詞
「,記号
空腹,名詞
」,記号
という,助詞
感覚,名詞
は,助詞
どんな,連体詞
もの,名詞
だ,助動詞
か,助詞
、,記号
さっぱり,副詞
わから,動詞
なかっ,助動詞
た,助動詞
の,名詞
です,助動詞
。,記号
へん,助動詞
な,助詞
言い,動詞
かた,名詞
です,助動詞
が,助詞
、,記号
おなか,名詞
が,助詞
空い,動詞
て,助詞
い,動詞
て,助詞
も,助詞
、,記号
自分,名詞
で,助詞
それ,名詞
に,助詞
気がつか,動詞
ない,助動詞
の,名詞
です,助動詞
。,記号
小学校,名詞
、,記号
中学校,名詞
、,記号
自分,名詞
が,助詞
学校,名詞
から,助詞
帰っ,動詞
て,助詞
来る,動詞
と,助詞
、,記号
周囲,名詞
の,助詞
人,名詞
たち,名詞
が,助詞
、,記号
それ,名詞
、,記号
おなか,名詞
が,助詞
空い,動詞
たろ,助動詞
う,助動詞
、,記号
自分,名詞
たち,名詞
に,助詞
も,助詞
覚え,動詞
が,助詞
ある,動詞
、,記号
学校,名詞
から,助詞
帰っ,動詞
て,助詞
来,動詞
た,助動詞
時,名詞
の,助詞
空腹,名詞
は,助詞
全く,副詞
ひどい,形容詞
から,助詞
な,助詞
、,記号
甘納豆,名詞
は,助詞
どう,副詞
？,記号
　,記号
カステラ,名詞
も,助詞
、,記号
パン,名詞
も,助詞
ある,動詞
よ,助詞
、,記号
など,助詞
と,助詞
言っ,動詞
て,助詞
騒ぎ,動詞
ます,助動詞
ので,助詞
、,記号
自分,名詞
は,助詞
持ち前,名詞
の,助詞
おべっか,名詞
精神,名詞
を,助詞
発揮,名詞
し,動詞
て,助詞
、,記号
おなか,名詞
が,助詞
空い,動詞
た,助動詞
、,記号
と,助詞
呟い,動詞
て,助詞
、,記号
甘納豆,名詞
を,助詞
十,名詞
粒,名詞
ばかり,助詞
口,名詞
に,助詞
ほうり込む,動詞
の,名詞
です,助動詞
が,助詞
、,記号
空腹,名詞
感,名詞
と,助詞
は,助詞
、,記号
どんな,連体詞
もの,名詞
だ,助動詞
か,助詞
、,記号
ちっとも,副詞
わかっ,動詞
て,助詞
い,動詞
やし,助動詞
なかっ,助動詞
た,助動詞
の,名詞
です,助動詞
。,記号
自分,名詞
だって,助詞
、,記号
それ,名詞
は,助詞
勿論,副詞
、,記号
大いに,副詞
もの,名詞
を,助詞
食べ,動詞
ます,助動詞
が,助詞
、,記号
しかし,接続詞
、,記号
空腹,名詞
感,名詞
から,助詞
、,記号
もの,名詞
を,助詞
食べ,動詞
た,助動詞
記憶,名詞
は,助詞
、,記号
ほとんど,副詞
あり,動詞
ませ,助動詞
ん,助動詞
。,記号
めずらしい,形容詞
と,助詞
思わ,動詞
れ,動詞
た,助動詞
もの,名詞
を,助詞
食べ,動詞
ます,助動詞
。,記号
豪華,名詞
と,助詞
思わ,動詞
れ,動詞
た,助動詞
もの,名詞
を,助詞
食べ,動詞
ます,助動詞
。,記号
また,接続詞
、,記号
よそ,名詞
へ,助詞
行っ,動詞
て,助詞
出さ,動詞
れ,動詞
た,助動詞
もの,名詞
も,助詞
、,記号
無理,名詞
を,助詞
し,動詞
て,助詞
まで,助詞
、,記号
たいてい,副詞
食べ,動詞
ます,助動詞
。,記号
そうして,接続詞
、,記号
子供,名詞
の,助詞
頃,名詞
の,助詞
自分,名詞
にとって,助詞
、,記号
最も,副詞
苦痛,名詞
な,助動詞
時刻,名詞
は,助詞
、,記号
実に,副詞
、,記号
自分,名詞
の,助詞
家,名詞
の,助詞
食事,名詞
の,助詞
時間,名詞
でし,助動詞
た,助動詞
。,記号
自分,名詞
の,助詞
田舎,名詞
の,助詞
家,名詞
で,助詞
は,助詞
、,記号
十,名詞
人,名詞
くらい,助詞
の,助詞
家族,名詞
全部,名詞
、,記号
めいめい,名詞
の,助詞
お,接頭詞
膳,名詞
を,助詞
二,名詞
列,名詞
に,助詞
向い合せ,名詞
に,助詞
並べ,動詞
て,助詞
、,記号
末っ子,名詞
の,助詞
自分,名詞
は,助詞
、,記号
もちろん,副詞
一,名詞
ばん,名詞
下,名詞
の,助詞
座,名詞
でし,助動詞
た,助動詞
が,助詞
、,記号
その,連体詞
食事,名詞
の,助詞
部屋,名詞
は,助詞
薄暗く,形容詞
、,記号
昼,名詞
ごはん,名詞
の,助詞
時,名詞
など,助詞
、,記号
十,名詞
幾,名詞
人,名詞
の,助詞
家族,名詞
が,助詞
、,記号
ただ,接続詞
黙々,副詞
として,助詞
めし,名詞
を,助詞
食っ,動詞
て,助詞
いる,動詞
有様,名詞
に,助詞
は,助詞
、,記号
自分,名詞
は,助詞
いつも,副詞
肌寒い,形容詞
思い,名詞
を,助詞
し,動詞
まし,助動詞
た,助動詞
。,記号
それ,名詞
に,助詞
田舎,名詞
の,助詞
昔気質,名詞
の,助詞
家,名詞
でし,助動詞
た,助動詞
ので,助詞
、,記号
おかず,名詞
も,助詞
、,記号
たいてい,副詞
きまっ,動詞
て,助詞
い,動詞
て,助詞
、,記号
めずらしい,形容詞
もの,名詞
、,記号
豪華,名詞
な,助動詞
もの,名詞
、,記号
そんな,連体詞
もの,名詞
は,助詞
望む,動詞
べく,助動詞
も,助詞
なかっ,形容詞
た,助動詞
ので,助詞
、,記号
いよいよ,副詞
自分,名詞
は,助詞
食事,名詞
の,助詞
時刻,名詞
を,助詞
恐怖,名詞
し,動詞
まし,助動詞
た,助動詞
。,記号
自分,名詞
は,助詞
その,連体詞
薄暗い,形容詞
部屋,名詞
の,助詞
末席,名詞
に,助詞
、,記号
寒,形容詞
さ,名詞
に,助詞
がたがた,副詞
震える,動詞
思い,名詞
で,助詞
口,名詞
に,助詞
ごはん,名詞
を,助詞
少量,名詞
ずつ,助詞
運び,動詞
、,記号
押し込み,動詞
、,記号
人間,名詞
は,助詞
、,記号
どうして,副詞
一,名詞
日,名詞
に,助詞
三度々々,副詞
ごはん,名詞
を,助詞
食べる,動詞
の,名詞
だろ,助動詞
う,助動詞
、,記号
実に,副詞
みな,名詞
